"VDOT",1500,1609,3000,3218,5000,8000,8045,10000,15000,16090,20000,210975,25000,30000,421950
60,"00:04:35.00","00:04:57.00","00:09:50.00","00:10:37.00","00:17:03.00","00:28:02.00","00:28:13.00","00:35:22.00","00:54:18.00","00:58:35.00","1:13:51.00","1:18:09.00","1:33:55.00","1:54:08.00","2:43:25.00"
59,"00:04:39.00","00:05:02.00","00:09:58.00","00:10:46.00","00:17:17.00","00:28:26.00","00:28:36.00","00:35:52.00","00:55:06.00","00:59:26.00","1:14:57.00","1:19:18.00","1:35:18.00","1:55:48.00","2:45:47.00"
58,"00:04:44.00","00:05:06.00","00:10:08.00","00:10:56.00","00:17:33.00","00:28:52.00","00:29:02.00","00:36:24.00","00:55:55.00","1:00:20.00","1:16:05.00","1:20:30.00","1:36:44.00","1:57:31.00","2:48:14.00"
57,"00:04:48.00","00:05:11.00","00:10:17.00","00:11:06.00","00:17:49.00","00:29:18.00","00:29:29.00","00:36:57.00","00:56:46.00","1:01:14.00","1:17:14.00","1:21:43.00","1:38:11.00","1:59:17.00","2:50:45.00"
56,"00:04:53.00","00:05:16.00","00:10:27.00","00:11:17.00","00:18:05.00","00:29:45.00","00:29:55.00","00:37:31.00","00:57:39.00","1:02:12.00","1:18:26.00","1:23:00.00","1:39:43.00","2:01:07.00","2:53:20.00"
55,"00:04:57.00","00:05:21.00","00:10:37.00","00:11:28.00","00:18:22.00","00:30:12.00","00:30:23.00","00:38:06.00","00:58:33.00","1:03:10.00","1:19:40.00","1:24:18.00","1:41:16.00","2:03:00.00","2:56:01.00"
54,"00:05:02.00","00:05:27.00","00:10:47.00","00:11:39.00","00:18:40.00","00:30:41.00","00:30:52.00","00:38:42.00","00:59:30.00","1:04:12.00","1:20:57.00","1:25:40.00","1:42:53.00","2:04:58.00","2:58:47.00"
53,"00:05:07.00","00:05:32.00","00:10:58.00","00:11:50.00","00:18:58.00","00:31:11.00","00:31:23.00","00:39:20.00","1:00:28.00","1:05:14.00","1:22:17.00","1:27:04.00","1:44:34.00","2:06:59.00","3:01:39.00"
52,"00:05:13.00","00:05:38.00","00:11:09.00","00:12:02.00","00:19:17.00","00:31:42.00","00:31:54.00","00:39:59.00","1:01:29.00","1:06:20.00","1:23:39.00","1:28:31.00","1:46:17.00","2:09:04.00","3:04:36.00"
51,"00:05:18.00","00:05:44.00","00:11:21.00","00:12:15.00","00:19:36.00","00:32:14.00","00:32:26.00","00:40:39.00","1:02:31.00","1:07:27.00","1:25:05.00","1:30:02.00","1:48:05.00","2:11:13.00","3:07:39.00"
